timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
14702000,0.0,0.0,33.0,4.0,3.0,0.0,0.0,176,1,0,0,0,0,1
15429000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
15534000,0.0,0.0,33.0,6.0,0.0,0.0,0.0,176,1,0,0,0,0,1
16598000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
16606000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
21616000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
36634000,999.0,999.0,999.0,999.0,999.0,999.0,999.0,183,1,0,0,0,0,1
41667000,999.0,999.0,999.0,999.0,999.0,999.0,999.0,183,1,0,0,0,0,1
51696000,999.0,999.0,999.0,999.0,999.0,999.0,999.0,183,1,0,0,0,0,1
67789000,0.0,0.0,0.0,21196.0,0.0,0.0,0.0,400,1,0,0,0,0,1
68303000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,1,0,0,0,0,1
